X Position [ppos],Y Position [ppos],Calibration [nW/(pstr/sec)],Calibration Sigma [nW/(pstr/sec)]
777.9881994152238,938.2224575351445,0.5691453,0.0022144685788355024
697.4939314960787,938.4303829394122,0.5567158,0.00208984783222864
876.410007879788,939.4296840473935,0.54015344,0.0020683766353251365
968.5828362659702,937.6409552592266,0.54174083,0.002058530491331569
1152.1931962255426,935.2246787521004,0.5618529,0.002069888256862332
1067.948233402211,937.2820947772119,0.56418097,0.0021739049716284443
1434.6375084095757,928.4498199702874,0.5735241,0.002147525108850632
1522.851093616172,926.2235287963431,0.59869105,0.0023478716503243964
1335.1024875480837,931.4040843322744,0.55131024,0.0020876295253773906
1248.6167694192495,933.7553646314683,0.5608711,0.002139692607799753
1678.8183172524086,773.1768027054536,0.63760686,0.002663359592138091
1607.346167648669,772.1268515244493,0.5927966,0.002418526793926451
1762.7294487796432,773.0579707398268,0.6653275,0.002838356320289763
1836.540627466434,771.2001936270938,0.7629301,0.003346494434056969
250.11853553673674,769.5937659449123,0.69139594,0.003012124089446655
281.93843014140543,787.3700053756605,0.65542394,0.002919726032859015
249.6382000438506,786.9820637072575,0.690389,0.003088632923010041
514.4504986010328,785.5922122204026,0.5624436,0.0022363080253179598
605.0547447947545,784.6484905293776,0.5725642,0.002254154154887831
444.2997817280625,785.9729538160215,0.59704065,0.002461240702232777
369.13176776000506,787.4535585941694,0.63758785,0.0026236960859328715
787.6682944157202,783.3604039174202,0.5333718,0.0020701830803150235
700.758259965235,784.1167709906384,0.5578488,0.0021688764915626744
878.5178622344262,782.7593947402648,0.52179986,0.0019740097985467575
967.3810572051069,780.6321957177186,0.5510412,0.002042536657184072
1161.8021244719716,779.7578498071465,0.5098611,0.001942452058422333
1079.32473783482,779.7436531013382,0.51841635,0.0020000132056140407
1432.913527900655,775.5473675575289,0.56042314,0.0022085808272405355
1511.8813146524747,774.2787160903496,0.5774689,0.002319711482343585
1348.3008573792185,776.4864368257586,0.5403771,0.0021231140872665765
1256.0369436643136,777.2327722873945,0.53615993,0.0020949356280443956
1793.343652166587,416.6571989550124,0.72540104,0.0031869230520955856
1718.240975595919,411.17488308871947,0.67769563,0.002820496672038014
265.03734456202125,435.7425976799127,0.6553794,0.00362828617632013
409.0199563287954,423.05485762918437,0.6023358,0.0025330058908795395
340.9023810399996,429.9546312483417,0.62492543,0.0028021553666629537
653.2827399070646,409.4515607891828,0.5450708,0.0021591991761555425
757.2082494678855,404.2417954217526,0.53416556,0.0021074953680012757
572.7899475355524,411.93666241344437,0.57251316,0.00231921641066142
490.27826304745537,417.73440001723185,0.61697197,0.0025350749200371368
919.5256801574013,400.0706102662644,0.5088531,0.002043184268849424
838.0616452610178,401.9638849698407,0.5056972,0.0019870261280019227
1018.0677491727,397.45587426581153,0.50078386,0.0019400933474793226
1110.4642346801757,395.9232772787766,0.49347717,0.0019371542925127195
1288.3918391208358,396.46756171933947,0.5388785,0.002173371293788372
1204.2442555674602,397.1619852719285,0.5043124,0.0019711213921592185
